Collection Number,Colloquial Name,Family,Genus,Species,Plant Kingdom,Descriptor,Plant Part,Overview Photo,Multicell,Bilobate,Polylobate,Rondel,Crenate,Trapezoid,Cross,Saddle,Acute Bulbosus,Blocky,Bulliform Flabellate,Elongate Entire,Elongate Sinuate,Elongate Dentate,Elongate Dendritic,Spheroid Psilate,Spheroid Echinate,Spheroid Ornate,Papillate,Tracheary,Tracheary Pitted,Tracheary Bordered,Stomata,Cork,Silica Aggregate,Sheet,Bulliform Fusiform ,Bulliform Crenate,Blocky with Ridge,Other,Project Herbarium Specimen,Link to RBG Kew Photo,Project,Author
M133,Ribwort,Plantaginaceae,Plantago ,lanceolata,Eudicot ,Flowering Plant,Root,,,,,,,,,,,M133.2,,M133.2,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914357,MRes ,Sigrid Osborne
M134,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M135,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M136,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M137,Ivy,Araliaceae,Hedera ,helix,Eudicot ,Climber,Root,,M137.2,,,,,,,,,,,"M137.1, M137.2",,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914281,MRes ,Sigrid Osborne
M138,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M139,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M140,Creeping Bent,Poaceae,Agrostis ,stolonifera,Monocotyledon,Grass,Root,M140.1,"M140.1, M140.2.5, M140.3",,,,,,,,,M140.3,,"M140.1, M140.2.5, M140.3",,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914536,MRes ,Sigrid Osborne
M141,,,,,,,Leaf,M141.1,"M141.1, M141.5",,,M141.6,"M141.1, M141.2, M141.4",,,,"M141.1, M141.3, M141.4",M141.5,,"M141.1, M141.5",M141.4,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M142,,,,,,,Internode and node,M142.1,"M142.1, M142.2, M142.3, M142.4",,,M142.1,,,,,"M142.1, M142.2",,,"M142.1, M142.3","M142.1, M142.4",,,,,,,,,,"M142.1, M142.2",M142.4,,,,,,,,,MRes ,Sigrid Osborne
M143,,,,,,,Stolon,"M143.1, M143.2","M143.1, M143.2, M143.4, M143.5",,,,M143.2,,,,,,,"M143.1, M143.2, M143.4",M143.6,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M144,,,,,,,Spikelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M145,Broadleaf Plantain,Plantaginaceae,Plantago,major,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,M145.1,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914357,MRes ,Sigrid Osborne
M146,,,,,,,Leaf,,,,,,,,,,,M146.3,,"M146.1, M146.2",,,,,,,,,,,,,M146.3,,,,M146.4,,,,MRes ,Sigrid Osborne
M147,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
